Number,Code,Name,Lat,Lon,State,Category,fuel type,name-sheet,state-sheet,,,,,,,
209,320,Big Creek,37.139,-119.49,CA,EXCLUDE,WAT,Big Creek 4,CA,,,,,,,
210,321,Big Creek,37.2096,-119.329,CA,EXCLUDE,WAT,Big Creek 8,CA,,,,,,,
211,322,Big Creek,37.20006,-119.307,CA,EXCLUDE,WAT,Big Creek 2A,CA,,,,,,,
212,323,Bishop Creek,37.27358,-118.573,CA,EXCLUDE,WAT,Bishop Creek 2,CA,,,,,,,
213,324,Bishop Creek,37.30196,-118.532,CA,EXCLUDE,WAT,Bishop Creek 3,CA,not in EIA,http://www.eia.gov/opendata/qb.cfm?category=902935,CA,exclude,,345,7273
214,325,Bishop Creek,37.32304,-118.502,CA,EXCLUDE,WAT,Bishop Creek 4,CA,not in EIA,,CO,exclude,,,4.74%
215,326,Bishop Creek,37.3344,-118.48,CA,EXCLUDE,WAT,Bishop Creek 5,CA,,,,,,,
216,327,Bishop Creek,37.3499,-118.463,CA,EXCLUDE,WAT,Bishop Creek 6,CA,,,,,,,
217,328,Borel,35.58807,-118.525,CA,EXCLUDE,WAT,Borel,CA,,,,,,,
218,329,Coolwater,34.8606,-116.854,CA,OGST,NG,Coolwater,CA,,,,,,,
219,330,El Segundo Power,33.9098,-118.424,CA,EXCLUDE,NG,El Segundo Power,CA,,,,,,,
220,331,Etiwanda Generating Station,34.09118,-117.527,CA,EXCLUDE,NG,Etiwanda Generating Station,CA,,,,,,,
221,332,Fontana,34.15516,-117.397,CA,EXCLUDE,WAT,Fontana,CA,,,,,,,
222,335,AES Huntington Beach LLC,33.6439,-117.979,CA,OGST,NG,AES Huntington Beach LLC,CA,,,,,,,
223,336,Kaweah,36.46133,-118.88,CA,EXCLUDE,WAT,Kaweah 2,CA,,,,,,,
224,337,Kaweah,36.46507,-118.862,CA,EXCLUDE,WAT,Kaweah 1,CA,,,,,,,
225,338,Kaweah,36.48606,-118.836,CA,EXCLUDE,WAT,Kaweah 3,CA,,,,,,,
226,339,Kern River,35.77619,-118.436,CA,EXCLUDE,WAT,Kern River 3,CA,,,,,,,
227,340,Kern River,35.4603,-118.78,CA,EXCLUDE,WAT,Kern River 1,CA,,,,,,,
