Name,State/Tribe,Region,State-region,Coal Steam Electric Generation (MWh),Coal Steam Carbon Dioxide Emissions (tons),Coal Steam Emission Rate (lb/MWh),NGCC Electric Generation (MWh),NGCC Carbon Dioxide Emissions (tons),NGCC Emission Rate (lb/MWh),NGCC Summer Capacity (MW),Oil and gas-fired steam Electric Generation (MWh),Oil and gas-fired steam Carbon Dioxide Emissions (tons),Oil and gas-fired steam Emission Rate (lb/MWh),Adjustment,Adjusted Coal Steam Gen (MWh),Adjusted NGCC Gen (MWh),Adjusted OG Gen (MWh),Summer  Capacity (MW),Summer Capacity (MW),Summer  Capacity (MW),Summer  Capacity (MW),Electric Generation (MWh),Emission Rate (lb/MWh),Carbon Dioxide Emissions (tons),Electric Generation (MWh),Emission Rate (lb/MWh),Carbon Dioxide Emissions (tons),Capacity (MW),Electric Generation (MWh),Emission Rate (lb/MWh),Carbon Dioxide Emissions (tons),,Total Adj. Baseline Fossil Steam Generation (Used in Appendix 5)
Ohio,OH,Eastern,OH-Eastern,86344797,91681732,2124,17854301,7732579,866,2688,384308,494399,2573,,,,,0,0,1207,0,86344797,2124,91681732,23687009,866,10258685,3895,384308,2573,494399,,"  86,729,105 "
Oklahoma,OK,Eastern,OK-Eastern,29102160,33592415,2309,29943376,13403825,895,6918,8488758,5865837,1382,,,,,0,0,0,0,29102160,2309,33592415,29943376,895,13403825,6918,8488758,1382,5865837,,"  37,590,918 "
Oregon,OR,Western,OR-Western,2640259,2745243,2080,11424291,4914532,860,2862,0,0,,1,3116931,13486830,0,0,0,0,0,3116931,2080,3240868,13486830,860,5801800,2862,,,0,,"  3,116,931 "
Pennsylvania,PA,Eastern,PA-Eastern,87054957,92864179,2133,50028719,22552383,902,8207,1661968,1241070,1493,,,,,0,0,0,1530,87054957,2133,92864179,57420455,902,25884495,9737,1661968,1493,1241070,,"  88,716,925 "
Rhode Island,RI,Eastern,RI-Eastern,0,0,,8140017,3735786,918,1725,0,0,,,,,,0,0,0,0,,,,8140017,918,3735786,1725,,,0,,  -   
South Carolina,SC,Eastern,SC-Eastern,28466764,30790349,2163,11209394,4751979,848,2282,409033,350938,1716,,,,,0,0,0,0,28466764,2163,30790349,11209394,848,4751979,2282,409033,1716,350938,,"  28,875,797 "
,SD,Eastern,SD-Eastern,2830363,3169636,2240,0,0,,0,0,0,,1,4004975,,,0,0,290,0,4004975,2240,4485048,1401048,908,636076,290,,,0,,"  4,004,975 "
Tennessee,TN,Eastern,TN-Eastern,34373696,38560355,2244,3091450,1191716,771,525,0,0,,,,,,0,0,878,0,34373696,2244,38560355,7333244,771,2826876,1403,,,0,,"  34,373,696 "
Texas E,TX,Eastern,TX-Eastern,28353732,30621112,2160,20981139,11079777,1056,4024,11684378,7937280,1359,,,,,0,0,0,0,28353732,2160,30621112,20981139,1056,11079777,4024,11684378,1359,7937280,,"  40,038,110 "
Texas ERCOT,TX,ERCOT,TX-ERCOT,110248798,124003928,2250,125159005,59519020,951,28424,8331348,5835641,1401,,,,,911,0,0,2489,115050132,2250,129404298,137182895,951,65236948,30912,8331348,1401,5835641,,"  123,381,480 "
,TX,Western,TX-Western,0,0,,1870134,1119576,1197,509,891480,613702,1377,,,,,0,0,0,0,,,,1870134,1197,1119576,509,891480,1377,613702,,"  891,480 "
,UTE,Western,Ute-Western,3090433,3314097,2145,0,0,,0,0,0,,,,,,0,0,0,0,3090433,2145,3314097,0,,0,0,,,0,,"  3,090,433 "
Utah,UT,Western,UT-Western,27332140,28300939,2071,5447362,2409060,884,1201,120348,112343,1867,,,,,0,0,0,629,27332140,2071,28300939,8486187,884,3752961,1830,120348,1867,112343,,"  27,452,488 "
Virginia,VA,Eastern,VA-Eastern,12508936,15130445,2419,23070350,10485033,909,3939,343908,284131,1652,,,,,600,0,0,2737,15671176,2419,18955399,36291895,909,16493972,6676,343908,1652,284131,,"  16,015,084 "
Washington,WA,Western,WA-Western,3735730,4542415,2432,5665045,2817768,995,3066,0,0,,2,7733957,11728154,,0,0,0,0,7733957,2432,9404011,11728154,995,5833531,3066,,,0,,"  7,733,957 "
Wisconsin,WI,Eastern,WI-Eastern,32112721,37938966,2363,10244273,4335786,846,2618,47668,42851,1798,,,,,0,0,0,0,32112721,2363,37938966,10244273,846,4335786,2618,47668,1798,42851,,"  32,160,389 "
,WV,Eastern,WV-Eastern,70078373,72318917,2064,0,0,,0,0,0,,,,,,0,0,0,0,70078373,2064,72318917,0,,0,0,,,0,,"  70,078,373 "
,WY,Western,WY-Western,42907427,49998736,2331,0,0,,0,0,0,,,,,,0,0,0,100,42907427,2331,49998736,483120,908,219336,100,,,0,,"  42,907,427 "
